date_detected,priority_level,publish_timing,topic,primary_entity,signal_type,allowed_category,trend_strength_score,opportunity_score,discover_score,urgency,confidence,content_status,source_count,recommended_angle,why_now,primary_headline,next_steps,notes
"2026-06-29","P1","immediate","Chlorthalidone blood pressure medication recall — scope expands from 11,460 to 900,000+ bottles","Chlorthalidone","recall","FDA and CDC regulatory updates","88","85","5","now","medium","new","11","Consumer safety checklist: how to check your chlorthalidone bottle, what to do if affected, and what the recall means for blood pressure patients","FDA recall first reported June 22; scope appears to have significantly expanded by June 29 (EatingWell reporting 900K+ bottles across heart and kidney medications). This is an active, evolving recall with direct patient safety implications for a large US population on antihypertensives.","Blood Pressure Medication Recall Expands: How to Check If Your Chlorthalidone Is Affected","Verify exact lot numbers, NDC codes, and recall classification level from fda.gov/safety/recalls-market-withdrawals-safety-alerts before publishing. Confirm whether EatingWell's 900K+ figure is same action or separate recall before merging into headline.","Breaking-recall exception applied — FDA.gov domain confirmed via 10+ corroborating outlets (Today, Prevention, Yahoo, Houston Chronicle). Primary FDA notice not directly retrieved; confidence capped at Medium per Skill 02b. Integrity flags: (1) Do not publish specific lot numbers without primary-source verification. (2) Verify whether EatingWell's 900K+ figure encompasses same chlorthalidone action or separate but related recall. (3) Never advise readers to stop blood pressure medication without physician consultation."
"2026-06-29","P2","short_term","FDA Listeria outbreak investigation — soft cheese (June 2026)","Listeria monocytogenes soft cheese outbreak","recall","FDA and CDC regulatory updates","74","78","4","today","medium","new","3","Which soft cheeses are linked to the June 2026 Listeria outbreak, who is most at risk, and what to do if you've eaten affected cheese","FDA launched an active outbreak investigation as of June 24. Listeria is one of the most dangerous foodborne pathogens — particularly for pregnant women, immunocompromised individuals, and adults 65+. Early, accurate consumer guidance reduces exposure during the investigation window.","FDA Is Investigating a Listeria Outbreak Linked to Soft Cheese — What to Know Right Now","Confirm specific product names, brands, lot codes, and case count from fda.gov outbreak page before publishing. Verify hospitalization and case data from FDA/CDC sources at time of writing; outbreak investigations update frequently.","FDA.gov outbreak investigation page confirmed in Google News radar (June 24). Specific product names and lot codes not yet in retrieved data — confidence capped at Medium pending full FDA notice review. Integrity flags: (1) Do not name specific cheese brands without FDA outbreak page confirmation. (2) Case counts update frequently during active investigations — verify at time of writing."
"2026-06-29","P2","short_term","HHS Operation TrialBlazer — US launches plan to accelerate Phase 1 clinical trials by 6–12 months","Operation TrialBlazer","policy_or_regulatory_change","medical research and clinical trials","70","72","4","today","high","new","7","What Operation TrialBlazer means for patients waiting on new treatments — translated for a non-specialist audience, with context on what 'faster trials' actually involves and the risks of rushing","HHS launched this June 22; coverage peaked in trade press June 22–23 but the general-audience explainer — especially the patient-impact angle — remains largely uncovered. The 'countering China' framing in news headlines obscures the real story for health readers: faster access to new drugs.","The US Just Launched a Plan to Speed Up Drug Trials by a Year. Here's What That Means for Patients.","Retrieve HHS.gov press release and confirm specific mechanisms (streamlined IRB, FDA coordination, AI-assisted trial design, recruitment reform). Emphasize this is a policy launch, not yet a change affecting specific drugs in development.","HHS.gov primary announcement + corroboration from WSJ, STAT News, Fierce Biotech, Clinical Trials Arena, The Hill — 5+ credible independent sources. Integrity flags: (1) Frame as policy launch (plan), not yet a change affecting specific drugs. (2) 'Faster trials' does not mean 'less safe trials' — Phase 1 is explicitly safety-focused. Do not imply safety is being sacrificed."
"2026-06-29","P2","short_term","COVID vaccine study blocked by CDC director — published in outside journal","CDC COVID vaccine study suppression","medical_study","public health and epidemiology","76","74","4","today","medium","new","4","What the suppressed COVID vaccine study actually found — separate the political story from the scientific data, and explain what peer review outside the CDC means for credibility","This story broke June 23 and generated significant coverage, but most pieces focus on the political angle (who blocked it, why). The health-audience angle — what the study actually found, whether it's credible, what peer review means — is underserved. Published June 23–24, still in active news cycle.","The COVID Vaccine Study the CDC Blocked Has Been Published. Here's What It Actually Found.","Retrieve specific journal publication, study authors, and findings from primary source before characterizing results. Confirm exact DOI and publication venue. Verify acting CDC director's stated rationale for blocking.","WaPo, NBC News, ABC News all report journal publication confirmed (June 23–24). Journal name not confirmed in retrieved data; DOI/PubMed not retrieved — confidence remains Medium. Integrity flags: (1) Confirm specific journal, study authors, and findings from primary publication. (2) This story has significant political framing risk — keep health-science angle primary; avoid partisan characterization of suppression or findings. (3) Publication outside MMWR does not inherently mean the study is more or less reliable — both channels involve peer review. Clarify this distinction for readers."
"2026-06-29","P3","scheduled","AI in primary care: Nature cluster-randomized trial on generative AI clinical decision support","Generative AI clinical decision support","clinical_trial","medical research and clinical trials","62","68","4","this_week","medium","new","3","What a real randomized trial of AI in doctor's offices found — translate the methods and results for a general health audience, including what 'clinical decision support' actually means for patients","Nature RCT publication is the gold standard for AI health claims — most AI in healthcare coverage is hype or press release. A pragmatic cluster-RCT in primary care is a genuinely meaningful data point. Merge with UC San Diego AI sepsis study (June 25) as supporting example.","AI Just Passed a Real Clinical Trial in Primary Care. Here's What That Actually Means.","Retrieve Nature paper DOI (June 26, 2026). Confirm primary outcome measures, effect sizes, and study population characteristics. Note study funding sources and declared conflicts of interest.","Nature publication confirmed in Google News radar (June 26). Cluster-RCT design is strong methodology signal. DOI not retrieved — confidence Medium. Integrity flag: Confirm outcome measures and effect sizes from primary paper. Cluster-RCT results apply to provider workflows, not direct patient treatment outcomes. This distinction matters for health-audience framing."
"2026-06-29","P3","scheduled","Patients bringing AI tools to therapy sessions — APA report","AI in psychotherapy","expert_conversation","mental health and psychology","58","65","3","this_week","high","new","2","What therapists actually think when patients bring ChatGPT into sessions — the benefits, the risks, and what patients should know before using AI between appointments","APA published this today (June 29). Mental health is a top Google Trends rising cluster (51/100, national minority mental health awareness month timely hook). General health media has not yet picked this up.","Your Therapist Knows You're Using AI Between Sessions. Here's What They Think About It.","Retrieve full APA report from apa.org (June 29). Confirm whether piece is commentary/opinion or evidence-based report. Identify specific AI tools and therapist recommendations discussed.","APA.org publication (June 29, same day). American Psychological Association is Tier 1 institutional source. Story is emerging and not yet covered by health media competitors. Integrity flags: (1) Confirm methodology — whether report is commentary/opinion or clinical evidence-based. (2) Do not imply AI tools are a substitute for licensed mental health care. This is both a clinical accuracy issue and a brand safety concern."
"2026-06-29","P3","scheduled","GLP-1 drugs drove US health spending surge in 2025","GLP-1 drugs health spending","data_release","chronic disease management","65","67","3","this_week","medium","new","2","GLP-1 drugs are reshaping the entire US healthcare budget — what rising costs mean for patient access, insurance coverage, and who gets left behind","Weight loss and GLP-1 continue as top search trends (weight loss 39/100 rising; 'trump weight loss drug' in rising queries). STAT analysis adds a macro-economics angle to the ongoing GLP-1 story that general health audiences haven't seen clearly framed.","GLP-1 Drugs Are Reshaping America's Healthcare Budget. What That Means for Patients.","Retrieve STAT News article (June 24). Confirm spending figure source (CMS national health expenditure data vs. private insurance analysis). Verify exact spending growth percentage and 2025 vs. 2024 comparison.","STAT News (Tier 1 health journalism) reporting on spending data (June 24). Single primary journalism source — second corroboration not in radar. Confidence Medium. Integrity flag: Confirm data source (CMS national data vs. private insurer analysis) before making generalizability claims about entire US healthcare system."
"2026-06-29","P3","scheduled","Blood metabolome study links midlife markers to brain health — Nature","Blood metabolome brain health midlife","medical_study","aging and longevity","57","63","3","this_week","medium","new","2","A blood test for brain health sounds futuristic — here's what this Nature study actually measured, what it can and can't tell you, and how far we are from a clinical application","Nature study published June 25. Longevity and brain health are perennial high-interest topics; this is a legitimate peer-reviewed anchor for a 'what the science actually says' piece that differentiates from hype-driven brain health content.","Scientists Found Hundreds of Blood Markers Linked to Brain Health. Here's What That Really Means.","Retrieve Nature paper DOI (June 25, 2026). Confirm study population (age range, geographic/demographic characteristics), primary findings, and association strengths. Note observational study design implications.","Nature publication confirmed (June 25). Observational study — must flag association ≠ causation. DOI not retrieved — confidence Medium. Integrity flags: (1) Observational study — association only, not causation. Do not frame as 'blood test predicts dementia.' (2) Confirm study population characteristics before making generalizability claims. (3) Note microbiome and gene influences in complex multi-factor model."
"2026-06-29","P3","scheduled","Gut health: fermented foods evidence (Cedars-Sinai) + fiber research (Emily Leeming)","Fermented foods and gut health","evergreen_with_fresh_angle","gut health and microbiome","52","64","3","this_week","medium","new","3","Cut through gut health noise: what fermented foods actually do (and don't do) based on the current evidence, plus what fiber research is finding about the microbiome — a mid-2026 evidence update","Gut health perennially high interest but trend signal soft (23/100 in Google Trends, declining). Emily Leeming fiber research rising as a named query in nutrition cluster provides a fresh news hook. Competitor coverage (Cedars-Sinai, Healthline) is broad — opportunity is in synthesis and skepticism.","What Fermented Foods Actually Do to Your Gut, According to the Latest Research","Retrieve Cedars-Sinai clinical guidance (June 23). Find Emily Leeming fiber research publication in PubMed or institutional repository. Synthesize findings across sources; clarify which specific fermented foods and populations studied.","Cedars-Sinai clinical guidance (Tier 1 institution, June 23) + Emily Leeming fiber research rising in Google Trends nutrition cluster. Two independent sources from different signal channels. Confidence Medium. Integrity flag: Avoid overgeneralizing 'fermented foods improve gut health' without specifying which foods, which populations, and which outcomes were studied."
"2026-06-29","P3","scheduled","Retracted Chinese cancer therapy timing study — what retraction means for patients and science","Cancer therapy timing study retraction","medical_study","medical research and clinical trials","55","60","3","this_week","medium","new","2","A major cancer study was retracted — use this as a teachable moment about how retractions work, what they mean for patients currently using the therapy, and how to think about medical research headlines","NYT health reporting (Tier 1, June 25). Study retraction confirmed by credible journalism. Most retraction coverage is written for scientists — there's a clear gap for a patient-facing explainer.","A Major Cancer Study Was Just Retracted. Here's Why That Matters — and What It Doesn't Mean.","Retrieve NYT article (June 25). Identify original journal and retraction notice. Confirm specific reason for retraction (data fabrication, methodology error, consent issues, etc.). Find original cancer therapy details.","NYT health reporting (Tier 1, June 25). Study retraction confirmed by credible journalism. Primary journal not retrieved — confidence Medium. Integrity flags: (1) Do not characterize retracted therapy as dangerous/ineffective based solely on retraction — retraction reasons vary. Confirm specific reason before characterizing clinical implications. (2) Do not advise readers to change active cancer treatment plans based on retraction — emphasize oncologist consultation."
