date_detected,priority_level,publish_timing,topic,primary_entity,signal_type,allowed_category,trend_strength_score,opportunity_score,discover_score,urgency,confidence,content_status,source_count,recommended_angle,why_now,primary_headline,next_steps,notes
"2026-07-08","P1","immediate","Utz Potato Chip Salmonella Recall — FDA Class I (Highest Risk)","Utz Brands","recall","FDA and CDC regulatory updates","88","85","5","today","high","new","8","Consumer safety checklist: which Utz chip products are recalled, how to identify affected lots, what to do if you've eaten them, what salmonella symptoms look like, and when to seek care.","FDA elevated the Utz potato chip recall to its highest risk classification (Class I) on or around July 2, 2026, meaning there is a reasonable probability the product will cause serious adverse health consequences or death. Multiple major outlets — NBC News, The Guardian, The Hill, Fox Business, CBS News, TODAY — confirmed the same product, same risk, same recall tier. This is a high-urgency consumer safety story with active search demand.","Utz Potato Chip Recall: FDA Issues Highest-Risk Alert for Salmonella — Here's What to Do","Assign immediately. Pull FDA notice for exact product/lot list before writing. Publish within 24 hours.","Breaking recall exception used — confirm FDA.gov notice URL and specific lot codes before publishing. Do not list affected products without pulling directly from the official FDA recall notice."
"2026-07-08","P1","immediate","E. coli Outbreak — FDA Investigation into Frozen Blueberries (July 2026)","Frozen Blueberries / FDA Outbreak Investigation","recall","FDA and CDC regulatory updates","84","82","5","today","high","new","4","Active outbreak explainer: what FDA has found so far, which products may be involved, what E. coli O157:H7 symptoms look like, and what consumers should do with frozen blueberries in their freezer right now.","FDA.gov posted an active outbreak investigation page on July 6, 2026: 'Outbreak Investigation of E. coli: Frozen Blueberries (July 2026).' This is an open, evolving public health situation. E. coli outbreaks linked to produce are a recurring high-priority food safety story. Consumers who have recently bought or eaten frozen blueberries need guidance now.","FDA Investigating E. coli Outbreak Linked to Frozen Blueberries: What to Do Now","Assign immediately. Monitor FDA page daily — update article when recall is issued or additional products named. This story has a 72-hour P1 window.","Active investigation — this story will evolve. Add 'Last updated' timestamp and plan to update when a recall is issued or investigation concludes. Do not name specific brands unless they appear on the FDA investigation page at time of writing. Note antibiotic risks for E. coli O157:H7."
"2026-07-08","P1","immediate","GLP-1 Weight-Loss Drugs Online — Yale Secret-Shopper Study Finds Low Clinical Oversight","GLP-1 / Online Prescribing Platforms","study_or_research","medical research and clinical trials","79","84","5","today","high","new","5","What the Yale secret-shopper study actually found about online GLP-1 prescribing — the specific gaps in oversight, what that means for patient safety, and what questions to ask before getting a prescription online.","STAT News (July 6) and The Washington Post (July 7) both covered a Yale study using secret shoppers to evaluate GLP-1 prescriptions from online telehealth platforms. The findings: easy, fast access with minimal clinical oversight. GLP-1 drugs remain among the highest-search health topics of 2025–2026. This study adds a critical safety and consumer-protection angle that differentiates from pure 'ozempic works' coverage.","Yale Secret-Shopper Study Reveals Major Safety Gaps in Online GLP-1 Prescriptions","Assign to senior writer with health/pharma background. Pull Yale study directly from STAT News and WaPo for specific data points before writing. This piece has a 48-hour relevance window before broader media saturation.","Confirm whether Yale study is peer-reviewed publication or preprint/press release. Do not present access barriers as universally bad — telehealth GLP-1 access has genuine benefits. 'Alarming' framing should be supported by specific findings."
"2026-07-08","P2","short_term","Eye Drop Recall — Over 2.5 Million Bottles Recalled Nationwide","Eye Drops (recalled brands)","recall","FDA and CDC regulatory updates","76","80","4","today","medium","new","3","Which brands are recalled, what the contamination risk is, what symptoms could indicate a problem, and what consumers should do with recalled drops.","Prevention reported on July 7, 2026 that over 2.5 million bottles of eye drops have been recalled nationwide, citing an FDA warning. Eye drops are a ubiquitous consumer product with broad audience reach. The 2023–2024 eye drop recall cycles established this as a high-engagement health safety category.","Over 2.5 Million Bottles of Eye Drops Recalled: FDA Warns Consumers to Stop Using These Products","Pull FDA notice for specific brands before writing. Publish within 48 hours.","Confidence capped at Medium — primary FDA notice not directly retrieved; confirm brand names and lot codes from FDA.gov before publishing. Past eye drop recall coverage has sometimes attributed recalls to wrong brands."
"2026-07-08","P2","short_term","COVID-19 Vaccines Cut Hospitalizations by More Than 50% — New Real-World Data","COVID-19 Vaccines","study_or_research","public health and epidemiology","72","76","4","this_week","high","new","4","What the new real-world data shows about COVID vaccine effectiveness against hospitalization in 2026 — including which vaccines, which variants, which populations showed the strongest benefit, and what it means for fall 2026 booster decisions.","UCHealth (University of Colorado Health) published July 6, 2026, citing a new study showing COVID-19 vaccines cut hospitalizations by more than 50%. Real-world effectiveness data is highly valued by health-conscious readers who want to understand how vaccines perform in actual populations.","COVID Vaccines Still Cut Hospitalizations by More Than 50%, New Real-World Study Shows","Confirm primary journal publication before writing. Publish within 3 days.","Confirm whether UCHealth study is peer-reviewed or institutional press release only. Confirm observational vs. RCT design. Present relative risk reduction with absolute risk context. Do not speculate on fall 2026 boosters without current CDC guidance."
"2026-07-08","P2","short_term","Pacemaker Recall — FDA Issues Warning After Injuries and Deaths","Pacemakers (recalled models)","recall","FDA and CDC regulatory updates","70","78","4","today","medium","new","3","Which pacemaker models are recalled, what the malfunction is, what the reported injuries and deaths involve, and what FDA says affected patients and their doctors should do.","UCHealth reported July 2, 2026 that the FDA recalled malfunctioning pacemakers after injuries and deaths, with patient guidance issued. Pacemaker recalls with confirmed adverse outcomes are among the highest-stakes medical device safety stories.","FDA Recalls Pacemakers After Reports of Injuries and Deaths — What Patients Need to Know","Pull FDA recall notice for device specifics before writing. Assign to writer with medical device experience. Publish within 48 hours.","Confidence capped at Medium. Critical: do NOT advise patients to stop using their pacemaker without cardiologist guidance — device-dependent patients face life-threatening risk if they misinterpret recall guidance. Confirm device names and malfunction from FDA.gov before publishing."
"2026-07-08","P2","short_term","Intermittent Fasting Maintains Long-Term Weight Loss Regardless of Meal Timing","Intermittent Fasting","study_or_research","nutrition and diet science","68","72","4","this_week","medium","new","3","What this study says about intermittent fasting and meal timing — the specific finding that challenges conventional IF advice — and what it means practically for people doing IF.","Medical Xpress (July 3) reported a new study finding intermittent fasting maintains long-term weight loss regardless of when meals are eaten — challenging the meal-timing orthodoxy. The 'diet' Google Trends cluster is active and intermittent fasting remains a top-search nutrition topic.","New Study: Intermittent Fasting Works for Long-Term Weight Loss — But When You Eat Doesn't Matter","Pull primary journal citation from Medical Xpress. Publish within 3–5 days.","Confirm study design from Medical Xpress — if observational, do not state IF 'causes' weight maintenance. Confirm whether 'long-term' is 12 months, 24 months, or longer. Do not generalize to populations with eating disorder history, insulin-dependent diabetes, or children without explicit qualification."
"2026-07-08","P2","short_term","Psilocybin Randomized Clinical Trial — Single Dose Reduced Cocaine Use","Psilocybin","clinical_trial","medical research and clinical trials","65","70","4","this_week","medium","new","3","What the randomized trial found about a single psilocybin dose and cocaine use reduction — the specific design, effect size, and what it means for where psychedelic therapy stands as a legitimate treatment pathway.","TMX Newsfile reported July 5, 2026 the publication of a randomized clinical trial showing a single dose of psilocybin reduced cocaine use, with Filament Health holding the exclusive IP license. A published RCT on psilocybin for substance use disorder is a significant research milestone.","Single Dose of Psilocybin Reduced Cocaine Use in Randomized Trial — What the Study Found","Pull primary journal publication before writing. Flag commercial interest disclosure (Filament Health) as mandatory editorial requirement.","Disclose Filament Health commercial IP interest — mandatory. Confirm sample size from primary publication. Single clinical trial — do not present as definitive proof. Do not generalize beyond cocaine use disorder."
"2026-07-08","P3","scheduled","Cyclosporiasis Outbreak 2026 — Rising Search Interest","Cyclosporiasis","rising_search_interest","public health and epidemiology","62","65","3","this_week","medium","new","2","What cyclosporiasis actually is — how people get infected, what the 2026 outbreak involves, which produce has been linked historically, and how to protect yourself.","Cyclosporiasis appears in Google Trends Trending Now (US health, real-time) on July 8, indicating a search spike — likely linked to an active outbreak or seasonal increase. Cyclosporiasis has a distinct seasonal pattern in the US (late spring/summer, linked to fresh produce).","Cyclosporiasis Outbreak 2026: What Is It, How Do You Get It, and Should You Be Worried?","Verify current outbreak status with CDC before writing. Assign as evergreen-adjacent explainer that can be updated as outbreak develops.","Confirm current outbreak details from CDC before publishing — Google Trends signal alone does not confirm an active CDC-declared outbreak. Do not name produce sources without CDC/FDA confirmation."
"2026-07-08","P3","scheduled","Heart Disease and Cognitive Decline — New Research on the Heart-Brain Link","Cardiovascular Health / Cognitive Function","study_or_research","chronic disease management","58","63","3","this_week","medium","new","2","What the new research adds to our understanding of why cardiovascular health protects cognitive function — and the specific lifestyle factors that address both simultaneously.","News-Medical reported July 6 on a study exploring heart issues and cognitive function. Heart disease is the #1 killer in the US; cognitive decline is a top aging fear. The intersection is a high-engagement topic. The 'best exercises for heart health' query is rising in Google Trends this week.","New Study: Heart Problems Are Linked to Faster Cognitive Decline — Here's What Protects Both","Pull primary journal citation from News-Medical article. Can pair with 'best exercises for heart health' angle to capture rising Google Trends query. Publish within 5–7 days.","Confirm study is published in peer-reviewed journal — News-Medical headline does not identify the journal. Present as association, not causation. Confirm population studied — if elderly-only, qualify generalizability."
"2026-07-08","P3","scheduled","Shigella Vaccine Trial — 89% Protection Rate","Shigella Vaccine","clinical_trial","public health and epidemiology","55","60","3","this_week","medium","new","3","What the 89% protection result means, who shigella affects (travelers, children, vulnerable communities), and where this vaccine is in the development pipeline.","PR Newswire and CIDRAP reported a clinical trial showing 89% protection from a Shigella vaccine. Shigella infects ~450,000 Americans annually; antimicrobial resistance is rising in Shigella strains, making a vaccine more urgent than ever. Trial results at this efficacy level are newsworthy.","Shigella Vaccine Trial Shows 89% Protection — What This Means for a Disease Affecting Millions","Confirm journal publication or ClinicalTrials.gov registration. Pull efficacy endpoint definition. SERP difficulty is Easy — low competition, clear opportunity.","Confidence capped at Medium — PR Newswire is a press release, not peer-reviewed. Verify journal or ClinicalTrials.gov. Clarify whether 89% efficacy is against any infection, symptomatic disease, or severe disease. Distinguish trial results from approved vaccine."
