date_detected,priority_level,publish_timing,topic,primary_entity,signal_type,allowed_category,trend_strength_score,opportunity_score,discover_score,urgency,confidence,content_status,source_count,recommended_angle,why_now,primary_headline,next_steps,notes
"2026-07-11","P1","immediate","FDA Recalls 2.5M Prescription Eye Drop Bottles Over Contamination Risk","FDA eye drop recall 2026","breaking_news","FDA and CDC regulatory updates","88","82","5","now","medium","new","7","Check Your Medicine Cabinet Now consumer action guide — which specific brands/lot numbers are affected, what contamination risk means for eye health, and what to do if you've used them.","2.5 million bottles is one of the largest eye drop recalls in recent years. Multiple high-credibility outlets reported between July 7–10. Google Trends food safety rising queries include prednisolone acetate eye drop recall. Audience action window is now — people need to know if their medicine cabinet is affected before using drops again.","FDA Recalls 2.5 Million Eye Drop Bottles: Here's How to Check If Yours Are Affected","Verify fda.gov recall notice for exact brand names, NDC numbers, and lot codes before publishing. Assign immediately. Target 600–800 words. Link to FDA recall database.","Integrity note: Primary FDA recall page not directly retrieved — confirm brand names, lot codes, and contamination type from fda.gov before publishing. Do not name specific brands without FDA confirmation."
"2026-07-11","P1","immediate","E. coli Outbreak Linked to Frozen Blueberries — CDC/FDA Active Investigation","E. coli frozen blueberry outbreak 2026","breaking_news","public health and epidemiology","85","84","5","now","high","new","5","Consumer action piece: which frozen blueberry products are linked, what E. coli symptoms to watch for, and whether to throw them out even if you've already eaten some.","Active CDC outbreak investigation opened July 2026. FDA issued its own investigation page July 6. Google Trends food safety rising queries include recent food safety recalls. Frozen blueberries are a common household staple (smoothies, oatmeal) — mass audience relevance is immediate.","E. Coli Outbreak Linked to Frozen Blueberries: What to Do If You Have Them at Home","Verify CDC outbreak page for case count, states affected, confirmed brands/retailer. Assign immediately. 700–900 words. Schema: NewsArticle + FAQPage.","Integrity note: Confirm whether CDC has issued a specific brand recall or a multistate advisory — language distinction matters (recall vs. advisory vs. investigation). Do not imply all frozen blueberries are affected if FDA has named specific brands/lots only."
"2026-07-11","P2","short_term","Yale Study Finds GLP-1 Medications Prescribed Online with Limited Clinician Oversight","GLP-1 telehealth prescribing oversight","medical_study","medical research and clinical trials","72","80","4","today","high","new","3","Consumer safety angle — what the Yale findings mean for patients using telehealth to get Ozempic, Wegovy, or similar GLP-1 drugs, and the 5 questions every patient should ask before getting a prescription online.","GLP-1 drugs (Ozempic, Wegovy, Mounjaro) remain the dominant health story of 2025–2026. Telehealth prescribing has exploded. Yale's secret-shopper methodology is novel and compelling. Diet keyword rising +5 on Trends. Weight loss +2. Audience is actively seeking GLP-1 guidance and may be getting prescriptions through platforms this study evaluated.","Yale Researchers Went Undercover to Test Online GLP-1 Prescribing — Here's What They Found","Locate the Yale press release and the underlying journal publication. Confirm the telehealth platforms studied (if named). Assign writer with GLP-1 beat familiarity. 800–1,100 words. Seek RD or endocrinologist quote from existing published commentary.","Integrity note: Yale press release is the current source — confirm peer-reviewed journal name and DOI before publishing. Note whether platforms are named in the study or anonymized. Do not characterize all telehealth prescribing as dangerous — study is about oversight gaps, not contraindication."
"2026-07-11","P2","short_term","Cream Cheese Recalled by FDA at Highest Risk Level — Class I Warning","cream cheese recall 2026 FDA Class I","breaking_news","FDA and CDC regulatory updates","74","75","4","today","medium","new","4","Which cream cheese brands/products are recalled, what Class I means in plain language, and whether to check what's in your fridge right now.","FDA Class I is the highest risk level (reasonable probability of serious adverse health consequences or death). Cream cheese is a ubiquitous household product. Published July 7–8, 2026 — within the 72-hour P2 window.","Cream Cheese Recalled at FDA's Highest Risk Level — Check Your Fridge Now","Verify fda.gov for exact brand names, UPC codes, best by dates, and contamination reason. Assign immediately alongside Eye Drop brief if bandwidth allows. 500–700 words.","Integrity note: Do not name brands until fda.gov recall page confirms them. Serious adverse health consequences or death is boilerplate FDA Class I language — explain what the actual contamination risk is (listeria? foreign material?) once confirmed."
"2026-07-11","P2","short_term","Skimping on Sleep Leads to Weight Gain — Columbia University Study","sleep deprivation weight gain study 2026","medical_study","sleep science / nutrition and diet science","68","78","4","today","high","new","3","Not just sleep more — explain the specific metabolic mechanism (calorie intake increase, appetite hormone disruption, fat storage pattern) and give the evidence-based sleep threshold that protects against weight gain.","Columbia study published July 6, 2026. Diet keyword trending +5 over 7 days. Marie-pierre st-onge sleep diet appearing in rising Trends queries suggests the researcher behind this study is gaining public attention. Summer = peak diet season.","Losing Even 1 Hour of Sleep Can Lead to Weight Gain, New Study Shows — Here's the Science","Locate Columbia press release + underlying journal publication (check Journal of Sleep Research, Obesity, or similar). Note whether Dr. Marie-Pierre St-Onge is the PI — her name is in Trends. 800–1,000 words.","Integrity note: Confirm whether this is an observational study or a controlled trial — mechanism of causation vs. association must be accurately described. Do not overstate as sleep causes weight gain without noting study design limitations."
"2026-07-11","P3","scheduled","Stanford Study: Chronic Pain Patients Can Successfully Reduce Opioid Use with Slow Voluntary Taper","opioid tapering chronic pain Stanford 2026","medical_study","medical research and clinical trials / chronic disease management","65","76","4","this_week","high","new","3","Evidence-based explainer of what the tapering approach actually involved — duration, dose reduction rate, support systems — vs. the common fear that stopping opioids means returning to unmanaged pain.","Stanford Medicine newsroom published July 9, 2026. Opioid crisis remains a major public health issue. Chronic pain + opioid alternatives are evergreen high-demand search queries. Study provides actionable clinical evidence patients and caregivers need.","Stanford Study Finds Many Chronic Pain Patients Can Reduce Opioids — Here's What the Taper Looked Like","Locate Stanford Medicine press release and the underlying journal publication. Confirm study design (RCT? cohort?), sample size, pain condition studied (back pain, neuropathy, fibromyalgia?). 900–1,100 words. Seek pain specialist or anesthesiologist published commentary.","Integrity note: Must distinguish between voluntary vs. forced taper; this study is voluntary. Do not suggest opioid patients should taper without physician supervision — include explicit caveat. Association ≠ causation if observational."
"2026-07-11","P3","scheduled","Biological Aging Clocks: What the New Nature Review Means for You","biological aging clocks 2026 Nature","medical_study","aging and longevity","62","74","4","this_week","high","new","2","Consumer-facing explainer: what biological age clocks are, which ones the Nature review evaluated, what actually moves them (and what doesn't), and whether the consumer aging-clock tests people buy are validated by this science.","Nature published July 9, 2026. Brian Johnson health is rising in Trends — the longevity biohacking conversation is peaking. University of Southern California longevity diet also rising. Audience appetite for evidence-based longevity content is demonstrably high.","Your Biological Age Isn't Your Birthday Age — A New Nature Review Explains What Actually Changes It","Retrieve Nature article (DOI from Nature.com — July 9 issue). Identify lead authors and their institutions. Confirm which aging clock modalities reviewed (epigenetic, proteomics, telomere, etc.). 1,000–1,300 words.","Integrity note: Distinguish between validated research tools (e.g., Horvath clock) and consumer DTC aging tests — the review likely covers the former; do not conflate. Note that biological age reversal claims in popular media often outrun the science."
"2026-07-11","P3","scheduled","Cyclosporiasis Is Trending — What You Need to Know","cyclosporiasis 2026","rising_search_interest","public health and epidemiology / infectious disease","70","68","3","this_week","medium","new","2","Practical explainer for summer travelers and produce-eaters: what cyclosporiasis is, which foods have historically caused US outbreaks (cilantro, basil, raspberries, sugar snap peas), how symptoms differ from typical food poisoning, and when to see a doctor.","Cyclosporiasis symptoms is a Google Trends Trending Now (real-time) signal on July 11. This is a summer-pattern foodborne illness — outbreaks peak June–August in the US. CDC has active surveillance pages. Audience questions exist and content is currently thin on major health sites.","Cyclosporiasis Is Spiking in Search — Here's What This Rare Parasite Does to Your Body","Check CDC Cyclosporiasis surveillance page for any 2026 outbreak advisory. 600–800 words. No specific outbreak announced yet — frame as explainer, not outbreak alert.","Integrity note: Google Trends Trending Now can reflect a local news story or social spike rather than a confirmed outbreak. Do not characterize as outbreak without CDC confirmation. Frame as educational until primary source confirms."
"2026-07-11","P3","scheduled","PCOS Nutrition: What the Research Actually Says","PCOS nutrition diet science","rising_search_interest","women's health / nutrition and diet science","74","72","4","this_week","medium","new","3","Cut through the social media noise: the evidence-based dietary approaches with the strongest research support for PCOS (low-GI, Mediterranean, anti-inflammatory) vs. popular claims that lack evidence (seed cycling, specific supplements), with practical meal pattern guidance.","PCOS wellness center and PCOS nutrition center both rising in Google Trends 7-day data. Social media PCOS content is high-volume but often misinformation-heavy. SERP is dominated by listicle content with weak sourcing — clear gap for evidence-based piece. Women's health is a core allowed category.","The PCOS Diet: What the Research Actually Supports (and What's Just Social Media Noise)","Source from Academy of Nutrition and Dietetics (AND) PCOS guidance, Endocrine Society guidelines, and at least one RCT on dietary intervention in PCOS. Assign to writer with nutrition beat. 1,000–1,300 words. Seek RDN/endocrinologist quote from published source.","Integrity note: PCOS dietary research is largely observational or small RCTs — qualify evidence levels throughout. Avoid implying any diet cures PCOS. Supplement claims (inositol, berberine) require individual study citations."
"2026-07-11","P3","scheduled","How to Restore Gut Health After Antibiotics","gut health restoration after antibiotics","rising_search_interest","gut health and microbiome","71","73","4","this_week","medium","new","3","Evidence-based protocol — not generic wellness advice. Cover: the specific microbiome disruption antibiotics cause (which bacteria are most affected, how long disruption lasts), what the research shows works (fermented foods, specific probiotic strains, dietary fiber), what the timeline for recovery looks like, and red flags that mean your gut hasn't recovered.","How to restore gut health after antibiotics is an explicit rising related query in Google Trends gut health cluster (7-day data). Gut health remains elevated at 71/100. This is a perennial audience question that spikes every fall/winter antibiotic season but is actively rising now. SERP is populated with generic listicles — gap exists for research-backed piece citing specific probiotic strains and timelines.","How to Restore Your Gut After Antibiotics — What the Microbiome Research Actually Recommends","Source from Cochrane review on probiotics post-antibiotics (confirmed: Cochrane Library has a systematic review on Lactobacillus and Saccharomyces boulardii post-antibiotic). 1,000–1,200 words. Seek gastroenterologist or microbiome researcher published quote.","Integrity note: Probiotic strain specificity matters — do not recommend generic probiotics. Cochrane evidence supports specific strains; name them with evidence grade. Do not suggest probiotics replace medical care if symptoms suggest C. difficile."
