date_detected,priority_level,publish_timing,topic,primary_entity,signal_type,allowed_category,trend_strength_score,opportunity_score,discover_score,urgency,confidence,content_status,source_count,recommended_angle,why_now,primary_headline,next_steps,notes
"2026-08-01","P1","immediate","Nationwide FDA recall of levothyroxine sodium tablets due to subpotency","Levothyroxine sodium tablets","recall","FDA and CDC regulatory updates / chronic disease management","88","85","5","today","medium","new","6","Patient action guide: what to do if you take levothyroxine — check your bottle, contact your pharmacy, call your doctor. Include manufacturer name, affected lot numbers, NDC codes from FDA.gov. Frame as dosing-strength issue, not contamination. Do NOT advise stopping without physician consultation.","Levothyroxine is one of the most-prescribed drugs in the US (27M+ patients). Nationwide recall for low potency means patients may have been undertreated for hypothyroidism — a condition where underdosing has direct health consequences. Recall broke July 27–28 and remains active as of August 1. High consumer search intent; SERP currently dominated by brief news briefs without patient action guidance.","Levothyroxine Recalled Nationwide: What to Do If You Take Thyroid Medication","Pull exact lot numbers and manufacturer from FDA.gov before writing. Assign to health reporter with pharmacy/drug beat. Publish within 4 hours.","Confidence capped at Medium per Skill 02b breaking-recall exception. Verify manufacturer name, affected lot numbers, and NDC codes from FDA.gov primary page before publishing. Do NOT rely solely on secondary coverage."
"2026-08-01","P1","immediate","Active E. coli outbreak investigation linked to frozen blueberries (FDA + CDC joint investigation, July 2026)","Frozen blueberries / E. coli outbreak","recall","FDA and CDC regulatory updates / public health and epidemiology","85","82","5","today","high","new","4","Check-your-freezer consumer action guide — which brands, what E. coli symptoms look like, when to seek care, and how to safely handle recalled product. Outbreak is under active investigation — affected brands/lots may expand; recommend adding update timestamp and link to live FDA page.","FDA and CDC simultaneously published outbreak investigation notices dated July 30, 2026 — two days ago and still active. Frozen blueberries are a staple in health-conscious households. E. coli STEC can cause serious illness, especially in children and older adults. Investigation is ongoing, meaning affected brands/lot numbers may expand. SERP currently has only brief news reports; no comprehensive patient-facing explainer exists.","E. coli Outbreak Linked to Frozen Blueberries: What You Need to Know","Pull confirmed brands and lot numbers from FDA outbreak page. Assign immediately. Update article if FDA expands recall scope.","Outbreak is under active investigation — affected brands/lots may expand after publication. Do not characterize the outbreak scale without directly citing FDA/CDC numbers. Specify E. coli strain (STEC / O157:H7 or other) once confirmed in primary sources."
"2026-08-01","P1","immediate","Class I FDA recall of 19M+ egg cartons sold at Kroger, Brookshire's, and other national retailers due to Salmonella contamination risk","Egg recall / Salmonella","recall","FDA and CDC regulatory updates / public health and epidemiology","82","80","4","today","medium","new","5","Complete reference guide — which brands, store brands, UPC/lot info, what Salmonella symptoms to watch for, and what to do with eggs already purchased. Largest 2026 egg recall; Class I = FDA's highest severity level. Clarify that fully cooked eggs are generally safe.","Class I = FDA's highest severity level. Recall broke July 27 and escalated to Class I per The Healthy@Reader's Digest update. Eggs are a kitchen staple — universal consumer relevance. Salmonella from eggs causes ~79,000 illnesses/year. SERP has quick news hits but no structured brand-list + symptom + action guide.","Over 19 Million Eggs Recalled for Salmonella Risk: Is Your Brand Affected?","Reconcile CBS (1.6M) vs. TODAY (19M) carton count via FDA primary page. Pull brand list and UPC codes. Assign immediately.","Confidence capped at Medium per Skill 02b — direct FDA primary page not verified in pre-fetch. Confirm current Class I status and complete brand/UPC list from FDA.gov. Do not overstate scope: 19M cartons ≠ 19M eggs. Salmonella risk is from raw/undercooked eggs — fully cooked eggs are generally safe."
"2026-08-01","P2","short_term","Open-label pilot clinical trial of psilocybin-assisted therapy for treatment-resistant PTSD in veterans, published in Nature Communications Medicine","Psilocybin-assisted therapy / veterans / treatment-resistant PTSD","clinical_trial","Medical research and clinical trials / mental health and psychology","74","78","4","this_week","medium","new","2","Rigorous explainer that takes the study seriously without overclaiming. What the trial design was (open-label, no placebo), what the results showed on validated PTSD scales, what 'treatment-resistant' means, and what still needs to be proven before this becomes a treatment option. Note: open-label pilot = preliminary design; single study.","Published July 30, 2026 in Nature Communications Medicine. Psilocybin research is a high-interest topic with growing mainstream coverage. Veterans' mental health is a perennial high-engagement topic. Treatment-resistant PTSD has very few approved interventions.","A Nature Study Tested Psilocybin Therapy for Treatment-Resistant PTSD in Veterans — Here's What It Found","Retrieve full DOI from Nature Communications Medicine July 30 issue. Pull sample size, effect size, and safety data from study. Assign to mental health reporter.","Open-label pilot = no control group, no placebo, small sample — headline must not imply this is a proven treatment. PTSD is a vulnerable population; framing must not minimize severity or suggest self-treatment with psilocybin. Psilocybin remains Schedule I federally; note legal status clearly."
"2026-08-01","P2","immediate","FDA recall of Rohto eye drop products (Google Trends #1 real-time trending health search as of August 1)","Rohto eye drops / FDA recall","recall","FDA and CDC regulatory updates","76","72","4","today","medium","new","2","Fast-reference guide: which exact Rohto products, the specific recall reason, what consumers should do, whether this affects popular OTC varieties (Rohto V, Cool, Hydra). Google Trends breakout #1 real-time US health search; breaking-recall exception applied.","'fda rohto eye drop recall' is #1 trending search in Google Trends real-time health as of today. Eye drops have heightened consumer attention after 2023's contaminated eye drop recalls. SERP is thin — Google Trends breakout with low existing content = high-opportunity window.","Rohto Eye Drop Recall: Which Products Are Affected and Why","Pull FDA recall page immediately — this is Trends #1. Confirm recall reason, product list, lot numbers. Assign to health news reporter. Publish before SERP fills.","Recall reason is UNCONFIRMED in pre-fetch data — do not speculate on contamination vs. sterility vs. labeling issue. Pull FDA.gov recall page first. Eye drop recalls carry elevated risk perception after 2023 contaminated-drop deaths — frame accurately based on actual FDA risk classification."
"2026-08-01","P2","short_term","SAMHSA 2025 National Survey on Drug Use and Health (NSDUH) — annual federal data release, published July 27, 2026","SAMHSA / National Survey on Drug Use and Health 2025","data_release","Mental health and psychology / public health and epidemiology","68","74","4","this_week","high","new","3","Data explainer: pull the 3–5 most newsworthy findings from the survey — changes in alcohol use, cannabis use, opioid statistics, depression/anxiety prevalence, treatment access gaps — and contextualize with prior-year comparisons.","The NSDUH is the most authoritative annual snapshot of drug use and mental health in the US — data journalists, health reporters, and policy researchers all cite it. Published July 27; most coverage has been brief. A deep-dive data explainer with charts and reader-relevant takeaways has SERP opportunity and strong Discover/AI citation potential.","SAMHSA's 2025 Drug Use Survey Is Out — Here Are the Key Numbers","Pull SAMHSA report PDF. Identify 3–5 most newsworthy datapoints with year-over-year comparisons. Assign to data/mental health reporter.","NSDUH uses self-reported data — note this limitation clearly; prevalence estimates carry standard errors. Year-over-year changes require statistical significance testing — do not characterize changes as 'rising' or 'falling' without checking confidence intervals. Include 988 Suicide & Crisis Lifeline and SAMHSA helpline in article."
"2026-08-01","P2","short_term","Penn Medicine research finding that different GLP-1 receptor agonists can be tailored to individual metabolic profiles","GLP-1 therapies / personalized metabolic medicine","medical_study","Medical research and clinical trials / chronic disease management / nutrition and diet science","65","75","4","this_week","medium","new","2","Consumer explainer: what the research found about metabolic differences between GLP-1 drugs, what biomarkers or patient profiles might predict response, and what this means for someone currently on or considering GLP-1 therapy. Frame around patient's question: 'Should I ask my doctor to switch?'","GLP-1 drugs (Ozempic, Wegovy, Mounjaro, Zepbound) dominate health search. 'Weight loss' is up +10 on Google Trends 7-day delta. The clinical question of 'which GLP-1 is right for me?' has massive search demand with no authoritative consumer answer. Penn Medicine research provides a credible hook for a differentiated explainer.","Not All GLP-1 Drugs Work the Same — New Research Explains Why Your Metabolism May Respond Differently","Pull journal citation from Penn Medicine release. Confirm study design. Assign to health/pharma reporter with GLP-1 beat familiarity.","Pull full journal citation — Penn Medicine press release framing may not capture study design or limitations. Note whether this is a clinical trial, observational study, or mechanistic research. Maintain editorial independence — do not name or rank specific drugs as 'better' without evidence. Association ≠ causation if study is observational."
"2026-08-01","P3","scheduled","Rising Google Trends query 'restricted eating hours brain health' + existing intermittent fasting / cognitive function research base","Time-restricted eating / brain health / cognitive function","rising_search_interest","Nutrition and diet science / aging and longevity","62","68","3","this_week","medium","new","3","Evidence-based explainer: what current research says about time-restricted eating's effects on brain health markers (BDNF, neuroinflammation, autophagy), what the limitations are, and practical guidance on who might benefit and how.","'Restricted eating hours brain health' is a rising Google Trends related query. The query reflects a growing consumer intersection of intermittent fasting (already high search volume) with cognitive health (also rising). Existing research supports a defensible explainer.","Time-Restricted Eating May Benefit Brain Health — But the Research Has Limits","Verify whether a triggering study (Rutgers nutrition/cognition signal) relates to this query cluster. Assign to nutrition writer. Schedule within 5 days.","No single triggering study identified — this is a search-trend signal, not a breaking research story; frame as a research synthesis, not breaking news. Most TRE + brain health studies are animal models or small human trials; note clearly. Distinguish between general intermittent fasting and specific time-restricted eating windows."
"2026-08-01","P3","scheduled","Phase 3 investigational cell therapy trial showing slowed DMD progression — reported by UC Davis Health and Cedars-Sinai","Duchenne muscular dystrophy / cell therapy / Phase 3 trial","clinical_trial","Medical research and clinical trials / chronic disease management","60","65","3","this_week","medium","new","3","Patient/family-facing explainer: what DMD is, what the cell therapy does differently from gene therapy, what Phase 3 showing means vs. approval, and what the timeline to availability might look like. Frame: 'Slowed progression' ≠ 'cure.'","Two major medical centers (UC Davis, Cedars-Sinai) independently reported on a Phase 3 DMD cell therapy trial this week. DMD is a rare but devastating pediatric disease with very limited treatment options. Gene and cell therapy is a high-engagement topic.","A Phase 3 Trial Shows Cell Therapy Can Slow Duchenne Muscular Dystrophy Progression","Confirm trial identity (same trial at both sites, or different). Pull ClinicalTrials.gov record. Assign to science/health reporter.","Confirm whether this is the same trial reported by both UC Davis and Cedars-Sinai or two different trials. 'Slowed progression' ≠ 'cure' — headline and framing must not overstate. Phase 3 trial ≠ approved treatment; note FDA approval pathway needed."
"2026-08-01","P3","scheduled","WIRED investigation into wellness influencers promoting unproven supplements and nootropics as 'natural' Adderall alternatives","Unproven Adderall alternatives / supplement misinformation / nootropics","supplement_claim","Mental health and psychology / nutrition and diet science (watchdog angle — evaluating, not promoting)","55","67","3","this_week","low","new","1","Science-based debunk/explainer: review the specific supplements WIRED identified (e.g., lion's mane, rhodiola, ashwagandha, L-theanine in high doses), what the actual clinical evidence shows for each, and what makes these claims particularly concerning for people who need ADHD treatment.","WIRED published an investigation July 27. ADHD medication access has been a top health story for two years. The rise of influencer-promoted nootropics targeting ADHD demand is a timely and brand-safe watchdog topic with a clear evidence-based counter-angle.","Wellness Influencers Are Selling 'Natural Adderall' Alternatives — Here's What Science Says","Find 2+ additional sources to corroborate the trend before framing as widespread. Assign to mental health/supplement beat writer.","Single source — confirm no other coverage before framing as widespread trend. Some adaptogens have real (if limited) evidence for mild cognitive effects; do not overclaim in either direction. Framing must make clear: this is NOT advice to stop or start any ADHD medication. Vulnerable population: people with undiagnosed or unmedicated ADHD; editorial sensitivity required."
