rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,metabolic psychiatry and keto diet,breakout,today,66,82,40,75,0,89,high,Breakout,0,31,0,diet,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,mediterranean diet pasta dinner recipe,breakout,today,66,82,40,75,0,89,high,Breakout,0,17,0,diet,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,bobby kennedy diet,emerging,this_week,66,82,39,75,0,89,high,'+4100%,0,95,0,diet,rising query,,Google Trends labels it +4100%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
4,diet with fat bombs,emerging,this_week,66,82,39,75,0,89,high,'+2450%,0,48,0,diet,rising query,,Google Trends labels it +2450%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
5,serena williams training day diet,emerging,this_week,66,82,40,75,0,89,high,'+2100%,0,29,0,diet,rising query,,Google Trends labels it +2100%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
6,jd vance weight loss diet,emerging,this_week,66,82,40,75,0,89,high,'+1450%,0,100,0,diet,rising query,,Google Trends labels it +1450%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,what is a macro in excel,breakout,today,65,80,41,75,0,88,high,Breakout,4,35,0,macro tracking,rising query,,Google Trends labels it Breakout; interest moved from 4 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,ketone iq,emerging,this_week,65,81,40,75,0,89,high,'+3550%,0,49,0,keto diet,rising query,,Google Trends labels it +3550%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,cell metabolism keto diet study,emerging,this_week,65,81,38,75,0,89,high,'+3100%,0,100,0,diet,rising query,,Google Trends labels it +3100%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,sauerkraut diet,watch,monitor,54,56,38,75,0,74,high,'+450%,0,98,0,diet,rising query,,Google Trends labels it +450%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
11,keto diet recipes for beginners,watch,monitor,53,53,40,75,0,72,high,'+350%,0,32,0,keto diet,rising query,,Google Trends labels it +350%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
12,usps tracking,rising,monitor,53,35,64,75,0,61,high,'+250%,88,100,20,macro tracking,rising query,,Google Trends labels it +250%; interest moved from 68 to 88; found through rising query,Track as a developing query and compare against existing coverage.
13,low fodmap diet,watch,monitor,50,38,52,75,0,63,high,'+180%,43,88,9,Mediterranean diet,rising query,,Google Trends labels it +180%; interest moved from 34 to 43; found through rising query,Keep on watchlist unless another signal channel confirms it.
14,atkins diet,watch,monitor,50,40,48,75,0,64,high,'+110%,25,32,7,diet benefits,rising query,,Google Trends labels it +110%; interest moved from 18 to 25; found through rising query,Keep on watchlist unless another signal channel confirms it.
