rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,beauty creations coraline,breakout,today,67,79,46,75,0,87,high,Breakout,0,95,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,coraline makeup cvs,breakout,today,66,81,42,75,0,89,high,Breakout,0,34,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,coraline beauty creations,breakout,today,66,79,45,75,0,87,high,Breakout,0,100,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,5 minute crafts girly makeup,emerging,this_week,66,82,40,75,0,89,high,'+1400%,0,18,0,makeup,rising query,,Google Trends labels it +1400%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
5,consumer reports k-beauty sunscreen test,emerging,this_week,62,73,40,75,0,84,high,'+800%,0,82,0,K-beauty,rising query,,Google Trends labels it +800%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
6,icon skincare,emerging,this_week,56,59,41,75,0,75,high,'+500%,0,48,0,skincare,rising query,,Google Trends labels it +500%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,neutrogena retinol night moisturizer,rising,monitor,55,57,40,75,0,74,high,'+450%,0,100,0,retinol,rising query,ingredients: retinol,Google Trends labels it +450%; interest moved from 0 to 0; found through rising query,Track as a developing query and compare against existing coverage.
8,versed rich barrier cream,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,skin barrier,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,holafly us states natural beauty,emerging,this_week,54,71,40,40,0,83,low,'+4050%,0,0,0,beauty,rising query,,Google Trends labels it +4050%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
10,contemporary vanilla fragrance trends,emerging,this_week,54,71,40,40,0,83,low,'+3900%,0,0,0,fragrance,rising query,,Google Trends labels it +3900%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
11,ysl beauty new sandalwood fragrance,emerging,this_week,54,71,40,40,0,83,low,'+3550%,0,0,0,fragrance,rising query,,Google Trends labels it +3550%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
12,coraline makeup collection,emerging,this_week,54,71,40,40,0,83,low,'+3300%,0,0,0,makeup,rising query,,Google Trends labels it +3300%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
13,kate spade beauty and the beast,watch,monitor,54,55,40,75,0,73,high,'+400%,0,30,0,beauty,rising query,,Google Trends labels it +400%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
14,beis makeup bag,watch,monitor,53,54,39,75,0,72,high,'+400%,0,90,0,makeup,rising query,,Google Trends labels it +400%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
