rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,pomegranates and heart failure research,emerging,this_week,78,91,49,100,0,95,high,'+1900%,11,23,11,heart,rising query; trending_now,,"Google Trends labels it +1900%; interest moved from 0 to 11; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
2,body composition heart failure research,emerging,this_week,77,91,46,100,0,95,high,'+1250%,7,20,7,heart,rising query; trending_now,,"Google Trends labels it +1250%; interest moved from 0 to 7; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
3,ukhsa salmonella outbreak,breakout,today,76,91,44,100,0,95,high,Breakout,4,16,4,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
4,uk egg salmonella cases,breakout,today,75,90,41,100,0,94,high,Breakout,0,52,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
5,dog food,breakout,today,75,80,55,100,0,88,high,Breakout,48,100,12,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 36 to 48; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
6,heart shaped curve crossword,breakout,today,75,91,39,100,0,95,high,Breakout,0,26,0,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
7,he broke the heart that saved him dailymotion,breakout,today,75,91,40,100,0,95,high,Breakout,0,16,0,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
8,i wanna plant you in my heart so love can grow,emerging,this_week,75,90,41,100,0,94,high,'+2850%,0,100,0,heart,rising query; trending_now,,"Google Trends labels it +2850%; interest moved from 0 to 0; found through rising query, trending_now",Build an angle this week and monitor the next 24-48 hours.
9,class i salmonella egg recall,breakout,today,74,90,38,100,0,94,high,Breakout,0,100,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
10,dog food salmonella,breakout,today,74,90,39,100,0,94,high,Breakout,0,52,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
11,heart shaped curve,breakout,today,73,90,37,100,0,94,high,Breakout,0,100,0,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
12,beauty creations coraline,breakout,today,67,79,46,75,0,87,high,Breakout,0,95,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
13,coraline makeup cvs,breakout,today,66,81,42,75,0,89,high,Breakout,0,34,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
14,coraline beauty creations,breakout,today,66,79,45,75,0,87,high,Breakout,0,100,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
15,hair loss elastin protein research,breakout,today,66,82,40,75,0,89,high,Breakout,0,15,0,hair loss,rising query,concerns: hair loss,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
16,coraline makeup collection,emerging,this_week,66,82,40,75,0,89,high,'+3300%,0,22,0,makeup,rising query,,Google Trends labels it +3300%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
17,coraline makeup,emerging,this_week,66,81,42,75,0,89,high,'+2350%,0,34,0,makeup,rising query,,Google Trends labels it +2350%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
18,5 minute crafts girly makeup,emerging,this_week,66,82,40,75,0,89,high,'+1400%,0,36,0,makeup,rising query,,Google Trends labels it +1400%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
19,hair care comb,emerging,this_week,66,82,41,75,0,89,high,'+1300%,0,18,0,scalp care,rising query,,Google Trends labels it +1300%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
20,scalp massager,emerging,this_week,66,79,43,75,0,87,high,'+1250%,0,100,-4,scalp care,rising query,,Google Trends labels it +1250%; interest moved from 4 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
21,fda salmonella enteritidis eggs recall,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
22,"identify current egg recalls, affected brands, and salmonella symptoms",breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
23,amazon granola salmonella recall,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
