rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,coraline beauty creations,breakout,today,66,79,43,75,0,87,high,Breakout,0,100,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,holafly us states natural beauty,breakout,today,66,82,41,75,0,89,high,Breakout,0,45,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,coraline x beauty creations,breakout,today,66,82,40,75,0,89,high,Breakout,0,35,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,coraline cvs makeup,breakout,today,66,81,42,75,0,89,high,Breakout,0,28,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,beauty creations coraline,breakout,today,66,79,43,75,0,87,high,Breakout,0,100,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,gel nail ban,breakout,today,66,82,41,75,0,89,high,Breakout,0,17,0,nail care,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,kerasal nail repair,breakout,today,66,82,40,75,0,89,high,Breakout,0,69,0,nail care,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,kaleidoscope hair products,breakout,today,66,82,40,75,0,89,high,Breakout,0,100,0,beauty products,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,no7 beauty products,breakout,today,66,82,40,75,0,89,high,Breakout,0,43,0,beauty products,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,nail care lancaster pa,emerging,this_week,66,82,40,75,0,89,high,'+4000%,0,18,0,nail care,rising query,,Google Trends labels it +4000%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
11,5 minute crafts girly makeup,emerging,this_week,66,82,40,75,0,89,high,'+3100%,0,100,0,makeup,rising query,,Google Trends labels it +3100%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
12,ulta 21 days of beauty fall 2026,emerging,this_week,62,72,41,75,0,83,high,'+800%,0,26,0,beauty,rising query,,Google Trends labels it +800%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
13,21 days of beauty ulta,emerging,this_week,60,56,58,75,0,74,high,'+500%,18,48,18,beauty,rising query,,Google Trends labels it +500%; interest moved from 0 to 18; found through rising query,Build an angle this week and monitor the next 24-48 hours.
14,ulta 21 days of beauty 2026,emerging,this_week,58,61,44,75,0,77,high,'+550%,4,15,4,beauty,rising query,,Google Trends labels it +550%; interest moved from 0 to 4; found through rising query,Build an angle this week and monitor the next 24-48 hours.
