rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,ukhsa salmonella outbreak,breakout,today,76,91,44,100,0,95,high,Breakout,4,16,4,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
2,uk egg salmonella cases,breakout,today,75,90,41,100,0,94,high,Breakout,0,52,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
3,dog food,breakout,today,75,80,55,100,0,88,high,Breakout,48,100,12,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 36 to 48; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
4,class i salmonella egg recall,breakout,today,74,90,38,100,0,94,high,Breakout,0,100,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
5,dog food salmonella,breakout,today,74,90,39,100,0,94,high,Breakout,0,52,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
6,beauty creations coraline,breakout,today,67,79,46,75,0,87,high,Breakout,0,95,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,coraline makeup cvs,breakout,today,66,81,42,75,0,89,high,Breakout,0,34,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,coraline beauty creations,breakout,today,66,79,45,75,0,87,high,Breakout,0,100,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,hair loss elastin protein research,breakout,today,66,82,40,75,0,89,high,Breakout,0,15,0,hair loss,rising query,concerns: hair loss,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,fda salmonella enteritidis eggs recall,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
11,"identify current egg recalls, affected brands, and salmonella symptoms",breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
12,amazon granola salmonella recall,breakout,today,63,80,40,65,0,88,medium,Breakout,0,0,0,salmonella,rising query; trending_now,,"Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
