rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,outset skincare,emerging,this_week,66,82,40,75,0,89,high,'+1150%,0,37,0,skincare,rising query,,Google Trends labels it +1150%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
2,beef tallow skincare effectiveness,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,skincare,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,daniel murphy paradigm peptides case,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,peptides,rising query,ingredients: peptides,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,paradigm peptides,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,peptides,rising query,ingredients: peptides,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,seth rollins hair loss,emerging,this_week,54,71,40,40,0,83,low,'+4650%,0,0,0,hair loss,rising query,concerns: hair loss,Google Trends labels it +4650%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
6,amazon affordable anti aging skincare,emerging,this_week,54,71,40,40,0,83,low,'+4600%,0,0,0,skincare,rising query,,Google Trends labels it +4600%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,elleybear skincare,emerging,this_week,54,71,40,40,0,83,low,'+4300%,0,0,0,skincare,rising query,,Google Trends labels it +4300%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,scarlett johansson skincare line,emerging,this_week,54,71,40,40,0,83,low,'+3450%,0,0,0,skincare,rising query,,Google Trends labels it +3450%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,best skincare for oily skin,rising,monitor,53,42,55,75,0,65,high,'+190%,17,91,17,skincare,rising query,,Google Trends labels it +190%; interest moved from 0 to 17; found through rising query,Track as a developing query and compare against existing coverage.
10,skincare for oily skin,watch,monitor,52,41,54,75,0,65,high,'+170%,18,97,15,skincare,rising query,,Google Trends labels it +170%; interest moved from 3 to 18; found through rising query,Keep on watchlist unless another signal channel confirms it.
11,how to stop hair loss,watch,monitor,50,39,49,75,0,63,high,'+130%,14,100,9,hair loss,rising query,concerns: hair loss,Google Trends labels it +130%; interest moved from 5 to 14; found through rising query,Keep on watchlist unless another signal channel confirms it.
