rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,how to clean a waffle maker,breakout,today,70,80,53,75,0,88,high,Breakout,15,80,13,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 2 to 15; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,how to clean quartzite countertops,breakout,today,69,80,51,75,0,88,high,Breakout,13,100,10,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 3 to 13; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,how to clean leather shoes,breakout,today,68,79,50,75,0,87,high,Breakout,11,88,9,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 2 to 11; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,how to clean stainless steel appliances,breakout,today,68,79,50,75,0,87,high,Breakout,12,92,9,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 3 to 12; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,how to clean laptop screen,breakout,today,68,80,50,75,0,88,high,Breakout,11,88,9,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 2 to 11; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,how to clean a microwave,breakout,today,68,79,50,75,0,87,high,Breakout,13,91,8,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 5 to 13; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,how to clean a cutting board,breakout,today,68,79,50,75,0,87,high,Breakout,12,100,8,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 4 to 12; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,how to clean keyboard keys,breakout,today,68,79,50,75,0,87,high,Breakout,12,89,9,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 3 to 12; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,how to clean shower tiles,breakout,today,68,80,49,75,0,88,high,Breakout,12,74,7,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 5 to 12; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,pet care tips,breakout,today,68,79,51,75,0,87,high,Breakout,12,80,12,scalp care,rising query,,Google Trends labels it Breakout; interest moved from 0 to 12; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
11,upcoming events,breakout,today,68,77,51,75,0,86,high,Breakout,17,90,11,beauty news,rising query,,Google Trends labels it Breakout; interest moved from 6 to 17; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
12,how to clean carpet,emerging,this_week,68,77,52,75,0,86,high,'+1300%,17,100,9,clean beauty,rising query,,Google Trends labels it +1300%; interest moved from 8 to 17; found through rising query,Build an angle this week and monitor the next 24-48 hours.
13,findley professional haircare,breakout,today,67,82,43,75,0,89,high,Breakout,4,4,4,haircare,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
14,best way to clean windows,breakout,today,67,80,46,75,0,88,high,Breakout,8,55,5,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 3 to 8; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
15,how to clean vinyl flooring,breakout,today,67,80,46,75,0,88,high,Breakout,7,62,4,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 3 to 7; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
16,how to clean shower mold,breakout,today,67,80,45,75,0,88,high,Breakout,6,68,3,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 3 to 6; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
17,how to clean shower glass,breakout,today,67,79,47,75,0,87,high,Breakout,10,81,4,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 6 to 10; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
18,the beauty fx series cast,emerging,this_week,67,82,43,75,0,89,high,'+1800%,3,10,3,beauty,rising query,,Google Trends labels it +1800%; interest moved from 0 to 3; found through rising query,Build an angle this week and monitor the next 24-48 hours.
19,boswell beauty,breakout,today,66,81,42,75,0,89,high,Breakout,4,43,4,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
20,fragrancebymeganmoroney,emerging,this_week,66,82,40,75,0,89,high,'+4050%,0,34,0,fragrance,rising query,,Google Trends labels it +4050%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
21,skinoren azelaic acid,emerging,this_week,66,82,40,75,0,89,high,'+3900%,0,73,0,skin barrier,rising query,ingredients: azelaic acid,Google Trends labels it +3900%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
22,biswell beauty mascara,breakout,today,65,81,39,75,0,89,high,Breakout,0,51,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
23,biswell beauty,breakout,today,64,79,37,75,0,87,high,Breakout,0,100,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
24,caudalie beauty elixir,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,beauty products,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
