rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,findley professional haircare,breakout,today,67,82,43,75,0,89,high,Breakout,4,4,4,haircare,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,how to clean shower glass,breakout,today,67,79,47,75,0,87,high,Breakout,10,81,4,clean beauty,rising query,,Google Trends labels it Breakout; interest moved from 6 to 10; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,boswell beauty,breakout,today,66,81,42,75,0,89,high,Breakout,4,43,4,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,dermatologist recommended spf lip balm,breakout,today,66,82,40,75,0,89,high,Breakout,0,31,0,SPF,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,reverse hair loss without drugs,breakout,today,66,82,40,75,0,89,high,Breakout,0,41,0,hair loss,rising query,concerns: hair loss,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,biswell beauty mascara,breakout,today,65,81,39,75,0,89,high,Breakout,0,51,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,biswell beauty,breakout,today,64,79,37,75,0,87,high,Breakout,0,100,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,celimax dual barrier creamy toner,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,skin barrier,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,caudalie beauty elixir,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,beauty products,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,upcoming events,breakout,today,54,71,40,40,0,83,low,Breakout,0,0,0,beauty news,rising query,,Google Trends labels it Breakout; time-series validation was skipped or unavailable; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
11,misumiskincare featured skincare,emerging,this_week,54,71,40,40,0,83,low,'+4700%,0,0,0,skincare,rising query,,Google Trends labels it +4700%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
12,bratz doll makeup tutorial,emerging,this_week,54,71,40,40,0,83,low,'+4350%,0,0,0,makeup,rising query,,Google Trends labels it +4350%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
13,fragrancebymeganmoroney,emerging,this_week,54,71,40,40,0,83,low,'+4050%,0,0,0,fragrance,rising query,,Google Trends labels it +4050%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
14,skinoren azelaic acid,emerging,this_week,54,71,40,40,0,83,low,'+3900%,0,0,0,skin barrier,rising query,ingredients: azelaic acid,Google Trends labels it +3900%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
15,trending beauty hacks,emerging,this_week,54,71,40,40,0,83,low,'+3900%,0,0,0,beauty trends,rising query,,Google Trends labels it +3900%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
16,it clown makeup tutorial,emerging,this_week,54,71,40,40,0,83,low,'+3350%,0,0,0,makeup,rising query,,Google Trends labels it +3350%; time-series validation was skipped or unavailable; found through rising query,Build an angle this week and monitor the next 24-48 hours.
