rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,dr. steven heymsfield glp-1 research,breakout,today,70,81,52,75,0,89,high,Breakout,13,100,13,GLP-1,rising query,,Google Trends labels it Breakout; interest moved from 0 to 13; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,which weight loss surgery is best for me,breakout,today,66,82,40,75,0,89,high,Breakout,0,100,0,weight loss surgery,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,sentara weight loss surgery,breakout,today,66,82,40,75,0,89,high,Breakout,0,25,0,weight loss surgery,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,am i a candidate for weight loss surgery,breakout,today,66,82,40,75,0,89,high,Breakout,0,21,0,weight loss surgery,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,financial impact glp-1 prescriptions,breakout,today,66,82,40,75,0,89,high,Breakout,0,15,0,GLP-1,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,amylyx glp-1 antagonist results,emerging,this_week,66,82,40,75,0,89,high,'+3300%,0,17,0,GLP-1,rising query,,Google Trends labels it +3300%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,best glp 1 supplement for weight loss,emerging,this_week,66,81,42,75,0,89,high,'+1350%,0,100,0,weight loss,rising query,,Google Trends labels it +1350%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,margaret cho weight loss,emerging,this_week,66,82,40,75,0,89,high,'+1100%,0,36,0,weight loss,rising query,,Google Trends labels it +1100%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,glp-1 medications beyond weight management,breakout,today,65,81,38,75,0,89,high,Breakout,0,64,0,GLP-1,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,bridget fonda weight loss,emerging,this_week,64,78,40,75,0,87,high,'+900%,0,36,0,weight loss,rising query,,Google Trends labels it +900%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
11,best peptide stack for muscle growth and fat loss,watch,monitor,50,46,40,75,0,68,high,'+200%,0,73,0,fat loss,rising query,,Google Trends labels it +200%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
