rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,cyclospora parasite outbreak,breakout,today,76,72,83,75,0,83,high,Breakout,49,100,48,foodborne illness,rising query,,Google Trends labels it Breakout; interest moved from 1 to 49; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,fda pedigree dog food recall,breakout,today,69,80,52,75,0,88,high,Breakout,10,100,10,food contamination,rising query,,Google Trends labels it Breakout; interest moved from 0 to 10; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,fda dog food recall,emerging,this_week,69,80,52,75,0,88,high,'+3300%,10,100,10,food recall,rising query,,Google Trends labels it +3300%; interest moved from 0 to 10; found through rising query,Build an angle this week and monitor the next 24-48 hours.
4,ice detention food safety,breakout,today,66,82,40,75,0,89,high,Breakout,0,15,0,food safety,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,food safety organization crossword clue,breakout,today,66,82,40,75,0,89,high,'+5000%,0,20,0,food safety,rising query,,Google Trends labels it +5000%; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,walmart kroger target food recalls,breakout,today,66,82,39,75,0,89,high,Breakout,0,28,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,us beach bacteria contamination,breakout,today,66,81,42,75,0,89,high,Breakout,0,77,0,food contamination,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,recent food safety recalls,breakout,today,63,79,35,75,0,87,high,Breakout,0,100,0,food safety,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,pedigree dog food recall,rising,monitor,57,53,52,75,0,72,high,'+400%,10,99,10,food recall,rising query,,Google Trends labels it +400%; interest moved from 0 to 10; found through rising query,Track as a developing query and compare against existing coverage.
10,cyclospora outbreak,rising,monitor,56,41,63,75,0,65,high,'+180%,27,42,26,salmonella outbreak,rising query,,Google Trends labels it +180%; interest moved from 1 to 27; found through rising query,Track as a developing query and compare against existing coverage.
11,cyclosporiasis outbreak,watch,monitor,53,44,51,75,0,66,high,'+180%,15,25,13,foodborne illness,rising query,,Google Trends labels it +180%; interest moved from 2 to 15; found through rising query,Keep on watchlist unless another signal channel confirms it.
12,dog food recall,watch,monitor,52,40,53,75,0,64,high,'+130%,11,100,11,food recall,rising query,,Google Trends labels it +130%; interest moved from 0 to 11; found through rising query,Keep on watchlist unless another signal channel confirms it.
