rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,billy bob thornton diet,emerging,this_week,67,82,42,75,0,89,high,'+1000%,2,4,2,diet,rising query,,Google Trends labels it +1000%; interest moved from 0 to 2; found through rising query,Build an angle this week and monitor the next 24-48 hours.
2,vegan diet and inflammation,emerging,this_week,66,82,39,75,0,89,high,'+4800%,0,46,0,diet,rising query,,Google Trends labels it +4800%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
3,em weight loss,emerging,this_week,61,56,59,75,0,74,high,'+500%,22,100,22,weight management,rising query,,Google Trends labels it +500%; interest moved from 0 to 22; found through rising query,Build an angle this week and monitor the next 24-48 hours.
4,medvi weight loss,emerging,this_week,58,62,42,75,0,77,high,'+550%,2,6,2,weight management,rising query,,Google Trends labels it +550%; interest moved from 0 to 2; found through rising query,Build an angle this week and monitor the next 24-48 hours.
5,benefits of intermittent fasting for men,watch,monitor,52,52,40,75,0,71,high,'+350%,0,87,0,intermittent fasting,rising query,,Google Trends labels it +350%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
6,home bodyweight exercises workout,watch,monitor,52,50,40,75,0,70,high,'+300%,0,29,0,diet,rising query,,Google Trends labels it +300%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
7,intermittent fasting over 60 female,watch,monitor,51,48,40,75,0,69,high,'+250%,0,63,0,intermittent fasting,rising query,,Google Trends labels it +250%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
8,best glp 1 supplement for weight loss,watch,monitor,51,45,45,75,0,67,high,'+200%,7,32,7,weight management,rising query,,Google Trends labels it +200%; interest moved from 0 to 7; found through rising query,Keep on watchlist unless another signal channel confirms it.
9,colon broom weight loss,watch,monitor,51,45,46,75,0,67,high,'+200%,7,32,7,weight management,rising query,,Google Trends labels it +200%; interest moved from 0 to 7; found through rising query,Keep on watchlist unless another signal channel confirms it.
10,ketogenic diet food list,watch,monitor,50,46,40,75,0,68,high,'+200%,0,66,0,keto diet,rising query,,Google Trends labels it +200%; interest moved from 0 to 0; found through rising query,Keep on watchlist unless another signal channel confirms it.
