rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,blueberry recall,emerging,this_week,72,81,59,75,0,89,high,'+2200%,24,35,24,food safety,rising query,,Google Trends labels it +2200%; interest moved from 0 to 24; found through rising query,Build an angle this week and monitor the next 24-48 hours.
2,outshine bars recall,breakout,today,68,80,48,75,0,88,high,Breakout,4,99,4,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,granola recall,breakout,today,68,80,50,75,0,88,high,Breakout,7,100,7,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 7; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,outshine fruit bars recall,breakout,today,67,80,47,75,0,88,high,Breakout,3,98,3,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 3; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,years buckwheat pet food recall,breakout,today,67,82,43,75,0,89,high,Breakout,3,21,3,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 3; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,eye drop recall,breakout,today,67,82,42,75,0,89,high,Breakout,2,7,2,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 2; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,nationwide lunchmeat listeria recall,breakout,today,66,80,42,75,0,88,high,Breakout,0,100,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,egg recall california,breakout,today,66,82,41,75,0,89,high,Breakout,1,2,1,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 1; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,woof complete chicken recipe recall,breakout,today,66,82,40,75,0,89,high,Breakout,0,34,0,food recall,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,seafood must be cooked to a minimum internal temperature of,breakout,today,66,82,40,75,0,89,high,Breakout,0,86,0,foodborne illness,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
11,toyota recalls,breakout,today,66,80,44,75,0,88,high,Breakout,4,100,1,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 3 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
12,egg recall brands,breakout,today,66,80,43,75,0,88,high,Breakout,5,32,5,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 5; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
13,uk egg salmonella cases,breakout,today,66,82,41,75,0,89,high,Breakout,0,52,0,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
14,which eggs are recalled,breakout,today,66,81,42,75,0,89,high,Breakout,4,14,4,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
15,deadly disease outbreak,breakout,today,66,82,39,75,0,89,high,Breakout,0,44,0,salmonella outbreak,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
