rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,taylor swift new short hair,breakout,today,74,90,38,100,0,94,high,Breakout,0,100,0,jennifer garner,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
2,taylor swift new haircut,breakout,today,74,90,39,100,0,94,high,Breakout,0,15,-1,jennifer garner,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 1 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
3,coraline makeup,emerging,this_week,70,80,55,75,0,88,high,'+2400%,16,60,16,makeup,rising query,,Google Trends labels it +2400%; interest moved from 0 to 16; found through rising query,Build an angle this week and monitor the next 24-48 hours.
4,coraline beauty creations,breakout,today,66,79,43,75,0,87,high,Breakout,0,100,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,coraline x beauty creations,breakout,today,66,82,40,75,0,89,high,Breakout,0,34,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
6,holafly us states natural beauty,breakout,today,66,82,41,75,0,89,high,Breakout,0,44,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
7,coraline cvs makeup,breakout,today,66,81,42,75,0,89,high,Breakout,0,28,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
8,davines essential haircare,breakout,today,66,82,40,75,0,89,high,Breakout,0,19,0,haircare,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
9,human zoo bottle fragrance,breakout,today,66,82,41,75,0,89,high,Breakout,0,42,0,fragrance,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,human zoo fragrance,breakout,today,66,81,42,75,0,89,high,Breakout,0,100,0,fragrance,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
11,consumer reports k-beauty sunscreen test,breakout,today,66,82,40,75,0,89,high,Breakout,0,28,0,K-beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
12,hair loss elastin protein research,breakout,today,66,82,41,75,0,89,high,Breakout,0,65,0,hair loss,rising query,concerns: hair loss,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
13,dime acne spot treatment,breakout,today,66,82,40,75,0,89,high,Breakout,0,100,0,acne treatment,rising query,concerns: acne,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
14,la bona nail care and spa,breakout,today,66,82,40,75,0,89,high,Breakout,0,84,0,nail care,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
15,ysl beauty new sandalwood fragrance,emerging,this_week,66,82,40,75,0,89,high,'+3950%,0,73,0,fragrance,rising query,,Google Trends labels it +3950%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
16,5 minute crafts girly makeup,emerging,this_week,66,82,40,75,0,89,high,'+2900%,0,100,0,makeup,rising query,,Google Trends labels it +2900%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
17,ageless beauty products,emerging,this_week,66,82,40,75,0,89,high,'+2900%,0,15,0,beauty products,rising query,,Google Trends labels it +2900%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
18,scalp massager,emerging,this_week,66,81,41,75,0,89,high,'+1050%,0,35,-1,scalp care,rising query,,Google Trends labels it +1050%; interest moved from 1 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
19,ulta 21 days of beauty,emerging,this_week,62,52,68,75,0,71,high,'+500%,30,100,22,beauty,rising query,,Google Trends labels it +500%; interest moved from 8 to 30; found through rising query,Build an angle this week and monitor the next 24-48 hours.
20,ulta 21 days of beauty 2026,emerging,this_week,59,57,52,75,0,74,high,'+550%,13,92,6,beauty,rising query,,Google Trends labels it +550%; interest moved from 7 to 13; found through rising query,Build an angle this week and monitor the next 24-48 hours.
