rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,he broke the heart that saved him,breakout,today,76,90,45,100,0,94,high,Breakout,4,39,4,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
2,heart shaped curve crossword,breakout,today,75,91,39,100,0,95,high,Breakout,0,25,0,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
3,he broke the heart that saved him dailymotion,breakout,today,75,91,40,100,0,95,high,Breakout,0,16,0,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
4,law roach client friendship boundaries,breakout,today,75,91,40,100,0,95,high,Breakout,0,15,0,law roach,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
5,law roach zendaya dress description,breakout,today,75,91,40,100,0,95,high,Breakout,0,15,0,law roach,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
6,gel nail polish ban,breakout,today,75,90,41,100,0,94,high,Breakout,0,65,0,gel nail ban,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
7,uk gel nail ban,breakout,today,75,91,40,100,0,95,high,Breakout,0,86,0,gel nail ban,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
8,king charles nephew university,breakout,today,74,90,39,100,0,94,high,Breakout,0,38,0,king charles,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
9,prince harry king charles balmoral,breakout,today,74,89,40,100,0,93,high,Breakout,0,100,0,king charles,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
10,king charles princess lilibet gift,breakout,today,73,89,36,100,0,93,high,Breakout,0,100,0,king charles,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
11,heart shaped curve,breakout,today,73,90,37,100,0,94,high,Breakout,0,98,0,heart,rising query; trending_now,,"Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query, trending_now","Prioritize a same-day brief, then validate sources before publishing."
12,beauty creations coraline,breakout,today,67,79,46,75,0,87,high,Breakout,0,95,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
13,coraline makeup cvs,breakout,today,66,81,42,75,0,89,high,Breakout,0,34,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
14,coraline beauty creations,breakout,today,66,79,45,75,0,87,high,Breakout,0,100,0,makeup,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
15,hair loss elastin protein research,breakout,today,66,82,40,75,0,89,high,Breakout,0,15,0,hair loss,rising query,concerns: hair loss,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
