rank,topic,trend_stage,urgency,radar_score,emergence_score,velocity_score,confidence_score,saturation_score,opportunity_score,confidence,rising_label,latest_interest,peak_interest,slope,seed_terms,discovery_sources,tags,why_now,recommended_action
1,findley professional haircare,breakout,today,67,82,43,75,0,89,high,Breakout,4,4,4,haircare,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
2,boswell beauty,breakout,today,66,81,42,75,0,89,high,Breakout,4,43,4,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 4; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
3,dermatologist recommended spf lip balm,breakout,today,66,82,40,75,0,89,high,Breakout,0,31,0,SPF,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
4,reverse hair loss without drugs,breakout,today,66,82,40,75,0,89,high,Breakout,0,41,0,hair loss,rising query,concerns: hair loss,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
5,misumiskincare featured skincare,emerging,this_week,66,82,40,75,0,89,high,'+4700%,0,16,0,skincare,rising query,,Google Trends labels it +4700%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
6,bratz doll makeup tutorial,emerging,this_week,66,82,40,75,0,89,high,'+4350%,0,100,0,makeup,rising query,,Google Trends labels it +4350%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
7,fragrancebymeganmoroney,emerging,this_week,66,82,40,75,0,89,high,'+4050%,0,28,0,fragrance,rising query,,Google Trends labels it +4050%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
8,it clown makeup tutorial,emerging,this_week,66,82,40,75,0,89,high,'+3350%,0,36,0,makeup,rising query,,Google Trends labels it +3350%; interest moved from 0 to 0; found through rising query,Build an angle this week and monitor the next 24-48 hours.
9,biswell beauty mascara,breakout,today,65,81,39,75,0,89,high,Breakout,0,51,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
10,biswell beauty,breakout,today,64,79,37,75,0,87,high,Breakout,0,100,0,beauty,rising query,,Google Trends labels it Breakout; interest moved from 0 to 0; found through rising query,"Prioritize a same-day brief, then validate sources before publishing."
